profit = 13755800

x [*,*]
:       1       2            3            4       5      6          7       8 :=
SH151   0     0            0            0         0     0          0        0
SH152   0     0            0            0         0     0          0        0
SH153   0     0            0          129.82      0     0          0        0
SH154   0     0            0            0         0     0        437.143    0
SH155   0     0            0            0         0     0          0        0
SH156   0     0            0            0         0     0          0        0
SH157   0     0            0            0         0     0          0        0
SH158   0     0            0            0         0     0          0        0
SH159   0     0            0            0         0     0          0        0
SH160   0     0           21            0         0     0          0        0
SH161   0     0            0            0         0     0          0        0
SH162   0     0            0            0         0     0          0        0
SH163   0     0            0            0         0     0          0        0
SH164   0     0            0            0         0     0          0        0
SH165   0     0            0          460         0     0          0        0
SH166   0     0            0            0         0     0          0        0
SH167   0     0            0            0         0     0          0        0
SH168   0     0            0          379.926     0     0          0        0
SH169   0     0            0            0         0     0          0        0
SH170   0     0            0            0         0     0          0        0
SH171   0     0            0            0         0     0          0        0
SH172   0     0            0            0         0    82.3521     0        0
SH173   0   308.491        0            0         0     0          0        0
SH174   0     0            0            0         0     0          0        0
SH175   0     0            0            0         0     0          0        0
SH176   0   450.286        0            0         0     0          0        0
SH177   0     0            0            0         0     0          0        0
SH178   0     0            0            0         0     0        139.775    0
SH179   0     0            0          107.645     0     0          0        0
SH180   0     0            0            0         0     0          0        0
SH181   0     0            0            0         0     0          0        0
SH182   0     0            0            0         0     0          0        0
SH183   0    10.7182       0            0         0     0          0        0
SH184   0     0            0            0         0     0        105.163    0
SH185   0   370.617        0            0         0     0          0        0
SH186   0     0            0            0         0    68.0572     0        0
SH187   0   114.793        0            0         0     0          0        0
SH188   0     0          246.232        0         0     0          0        0
SH189   0     0            0            0         0     0          0        0
SH190   0     0            0            0         0     0          0        0
SH191   0     0            0            0         0     0         80.6177   0
SH192   0     0            0            0         0     0          0        0
SH193   0     0            0            0         0     0          0        0
SH194   0     0            0            0         0     0        303.543    0
SH195   0     0          243.066        0         0     0          0        0
SH196   0     0            0            0         0     0          0        0
SH197   0     0            0          437.429     0     0          0        0
SH198   0     0            0            0         0     0          0        0
SH199   0     0            0            0         0     0          0        0
SH200   0     0            0            0         0     0          0        0
SH201   0     0          476.286        0         0     0          0        0
SH202   0     0            0            0         0     0          0        0
SH203   0   500.571        0            0         0     0          0        0
SH204   0     0            0            0         0     0          0        0
SH205   0   144.365        0            0         0     0          0        0
SH206   0     0            0            0         0     0          0        0
SH207   0     0            0            0         0     0          0        0
SH208   0     0            0            0         0     0          0        0
SH209   0   436.423        0            0         0     0          0        0
SH210   0     0            0            0         0     0          0        0
SH211   0     0            0            0         0     0          0        0
SH212   0     0            0            0         0     0          0        0
SH213   0     0            0          436.857     0     0          0        0
SH214   0     0            0            0         0     0          0        0
SH215   0     0            0            0         0     0          0        0
SH216   0     0            0            0         0     0          0        0
SH217   0     0            0          205.84      0     0          0        0
SH218   0     0            0            0         0     0          0        0
SH219   0     0            0            0         0     0          0        0
SH220   0     0            0            0         0     0          0        0
SH221   0     0          468.286        0         0     0          0        0
SH222   0     0            2.78749      0         0     0          0        0
SH223   0     0            0            0         0   409.143      0        0
SH224   0     0          442.571        0         0     0          0        0
SH225   0     0            0            0         0     0        403.874    0
SH226   0     0            0          418.857     0     0          0        0
SH227   0     0            0          256.222     0     0          0        0
SH228   0     0            0            0         0     0          0        0
SH229   0     0            0            0         0     0          0        0
SH230   0     0           69.6662       0         0     0          0        0
